,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,dien_tich,huong_ban_cong,phong_ngu,id_thanh_pho,ten_thanh_pho,id_quan,ten_quan,so_tang,mat_tien,noi_that,huong_nha,so_do,lat,long,gia,gia_m2,du_an,project_name,id_duong,ten_duong,do_rong_duong,do_rong_duong_ml,id_phuong,ten_phuong
229,4302,37762,37762,50.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,6.0,5.0,,,0,21.0225776,105.8318544,21600.0,432.0,,,5e958eea208d0d6d7648fdcf,27,50.0,Mặt phố - Mặt đường,,
230,4310,37770,37770,130.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,6.0,6.0,,,0,21.0130853,105.8203773,15000.0,115.3846153846154,,,5e958eea208d0d6d7648fdd0,23,6.0,Mặt phố - Mặt đường,,
231,4340,37800,37800,36.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,7.0,4.0,,KXĐ,0,21.009967,105.823136,20000.0,555.5555555555555,,,5e958eea208d0d6d7648fd97,76,28.0,Mặt phố - Mặt đường,,
232,4475,37935,37935,55.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,5.0,4.3,,,0,21.017649,105.830046,23000.0,418.1818181818182,,,5e958eea208d0d6d7648fdbc,6,20.0,Mặt phố - Mặt đường,,
233,4476,37936,37936,40.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,5.0,3.5,,,0,21.017649,105.830046,5950.0,148.75,,,5e958eea208d0d6d7648fd80,49,6.0,Mặt phố - Mặt đường,,
234,4502,37962,37962,127.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,2.0,12.0,,,0,21.019366899999998,105.80743819999999,30000.0,236.2204724409449,,,5e958eea208d0d6d7648fdb5,3,15.0,Mặt phố - Mặt đường,,
235,4631,38091,38091,57.0,,4.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,5.0,5.0,,,1,21.017239899999996,105.8172362,19300.0,338.5964912280702,,,5e958eea208d0d6d7648fdc6,16,5.0,Mặt phố - Mặt đường,5e5501cbeb80a7245175e123,Phường Ô Chợ Dừa
236,4688,38148,38148,28.0,,3.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,5.0,8.0,,,1,21.016800399999997,105.8095635,2200.0,357.89473684210526,,,5e958eea208d0d6d7648fd8a,52,8.0,Mặt phố - Mặt đường,5e5501cbeb80a7245175e126,Phường Láng Hạ
237,4761,38221,38221,60.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,5.0,4.0,,,0,21.017649,105.830046,32000.0,533.3333333333334,,,5e958eea208d0d6d7648fd91,82,25.0,Mặt phố - Mặt đường,5e5501cbeb80a7245175e123,Phường Ô Chợ Dừa
238,4774,38234,38234,135.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,7.0,6.0,,,0,21.0153717,105.8128851,45000.0,333.3333333333333,,,5e958eea208d0d6d7648fdc4,14,40.0,Mặt phố - Mặt đường,5e5501cbeb80a7245175e126,Phường Láng Hạ
239,4775,38235,38235,28.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,5.0,7.0,,,0,21.017649,105.830046,16680.0,595.7142857142858,,,5e958eea208d0d6d7648fdd6,30,50.0,Mặt phố - Mặt đường,,
240,4776,38236,38236,61.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,8.0,4.0,,,0,21.017649,105.830046,8850.0,145.08196721311475,,,5e958eea208d0d6d7648fda8,70,3.0,Mặt phố - Mặt đường,,
241,4786,38246,38246,35.0,,4.0,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,5.0,4.0,,,1,21.0213451,105.8331223,95000.0,227.14285714285717,,,5e958eea208d0d6d7648fd77,41,10.0,Mặt phố - Mặt đường,5e5501cbeb80a7245175e124,Phường Văn Chương
242,4893,38353,38353,140.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,7.0,6.5,,,0,21.0153717,105.8128851,45000.0,321.42857142857144,,,5e958eea208d0d6d7648fdc4,14,25.0,Mặt phố - Mặt đường,5e5501cbeb80a7245175e126,Phường Láng Hạ
243,4895,38355,38355,100.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,5.0,6.0,,,0,21.0092227,105.8143864,32000.0,320.0,,,5e958eea208d0d6d7648fdd1,24,25.0,Mặt phố - Mặt đường,,
244,4918,38378,38378,60.0,,,5e5501caeb80a7245175dddb,Thành phố Hà Nội,5e5501caeb80a7245175de2c,Quận Đống Đa,3.0,3.8,,,0,21.017649,105.830046,12500.0,208.33333333333331,,,5e958eea208d0d6d7648fda4,68,16.0,Mặt phố - Mặt đường,5e5501cbeb80a7245175e12a,Phường Trung Phụng
